iter	Passed	Remaining
813	5269	1204
814	5275	1197
815	5280	1190
816	5285	1183
817	5290	1177
818	5297	1170
819	5304	1164
820	5310	1157
821	5317	1151
822	5323	1144
823	5328	1138
824	5333	1131
825	5339	1124
826	5344	1118
827	5349	1111
828	5355	1104
829	5360	1098
830	5366	1091
831	5371	1084
832	5376	1077
833	5382	1071
834	5387	1064
835	5392	1057
836	5397	1051
837	5403	1044
838	5408	1037
839	5413	1031
840	5419	1024
841	5424	1017
842	5429	1011
843	5434	1004
844	5439	997
845	5444	991
846	5450	984
847	5455	977
848	5460	971
849	5475	966
850	5480	959
851	5486	952
852	5491	946
853	5497	939
854	5504	933
855	5510	927
856	5518	920
857	5524	914
858	5529	907
859	5535	901
860	5542	894
861	5549	888
862	5556	882
863	5563	875
864	5569	869
865	5576	862
866	5583	856
867	5590	850
868	5597	843
869	5604	837
870	5610	831
871	5617	824
872	5624	818
873	5631	811
874	5638	805
875	5644	799
876	5651	792
877	5658	786
878	5665	779
879	5672	773
880	5679	767
881	5685	760
882	5692	754
883	5700	747
884	5707	741
885	5714	735
886	5723	729
887	5731	722
888	5737	716
889	5744	709
890	5751	703
891	5758	697
892	5765	690
893	5772	684
894	5780	678
895	5790	672
896	5801	666
897	5817	660
898	5830	655
899	5843	649
900	5858	643
901	5871	637
902	5885	632
903	5900	626
904	5914	620
905	5921	614
906	5929	608
907	5949	602
908	5963	596
909	5974	590
910	5986	584
911	5998	578
912	6011	572
913	6022	566
914	6033	560
915	6046	554
916	6058	548
917	6069	542
918	6081	536
919	6095	530
920	6106	523
921	6120	517
922	6130	511
923	6138	504
924	6151	498
925	6161	492
926	6172	486
927	6181	479
928	6188	472
929	6195	466
930	6201	459
931	6208	452
932	6215	446
933	6222	439
934	6229	433
935	6235	426
936	6242	419
937	6249	413
938	6255	406
939	6262	399
940	6269	393
941	6275	386
942	6282	379
943	6288	373
944	6295	366
945	6302	359
946	6308	353
947	6315	346
948	6321	339
949	6329	333
950	6336	326
951	6344	319
952	6352	313
953	6359	306
954	6365	299
955	6372	293
956	6379	286
957	6385	279
958	6392	273
959	6399	266
960	6405	259
961	6412	253
962	6418	246
963	6425	239
964	6432	233
965	6438	226
966	6445	219
967	6451	213
968	6458	206
969	6465	199
970	6472	193
971	6478	186
972	6485	179
973	6492	173
974	6499	166
975	6506	159
976	6512	153
977	6520	146
978	6528	140
979	6535	133
980	6542	126
981	6549	120
982	6556	113
983	6562	106
984	6569	100
985	6575	93
986	6582	86
987	6589	80
988	6595	73
989	6602	66
990	6608	60
991	6615	53
992	6621	46
993	6627	40
994	6634	33
995	6641	26
996	6648	20
997	6654	13
998	6662	6
999	6669	0
